Game File,Game Date,Pitching Team,Hitting Team,Pitcher,Batter,Inning,Plate Appearance,Play,Play Type,Outs,New BaseOut State,Pitch Sequence,Batter Handedness,Pitcher Handedness,Runs Scored On Play,Runs Charged To,Game Location (Hitting),Game Location (Pitching),Previous BaseOut State,Next Outs,Outs on Play,All Counts,Inning Number,Grouped Play Type
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,S. Woods,T3,19,"S. Woods singled to pitcher, bunt.",1B 1 BU,1,1__,P,R,R,0,[],Away,Home,___,1.0,0.0,['0-0'],3,Single
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,Z. Rocke,T3,20,Z. Rocke walked; S. Woods advanced to second.,BB,1,12_,BBFBFFB,R,R,0,[],Away,Home,1__,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2']",3,Walk
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,A. McGowan,T3,21,A. McGowan struck out swinging.,KS,1,12_,KBKFFK,R,R,0,[],Away,Home,12_,2.0,1.0,"['0-0', '0-1', '1-1', '1-2']",3,Strikeout
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,M. Penta,T3,22,M. Penta singled to shortstop; Z. Rocke advanced to second; S. Woods advanced to third.,1B 6,2,123,P,R,R,0,[],Away,Home,12_,2.0,0.0,['0-0'],3,Single
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,L. Turner,T3,23,L. Turner grounded out to 2b.,43,2,123,KFFBBP,R,R,0,[],Away,Home,123,3.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2']",3,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,C. Olensky,A. Shepherd,B3,24,A. Shepherd lined out to p.,L1,0,___,FBFFBBP,R,L,0,[],Home,Away,___,1.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2']",3,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,C. Olensky,E. Enriquez,B3,25,E. Enriquez singled to left field.,1B 7,1,1__,BKBFFFFBP,L,L,0,[],Home,Away,___,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2']",3,Single
651295.xml,2/21/2026,MARYLAND,TOLEDO,C. Olensky,S. Bolding,B3,26,S. Bolding popped out to c.,PF2,1,1__,FBBP,R,L,0,[],Home,Away,1__,2.0,1.0,"['0-0', '0-1', '1-1', '2-1']",3,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,C. Olensky,A. Miller,B3,27,A. Miller grounded out to ss.,63,2,1__,KFBBP,R,L,0,[],Home,Away,1__,3.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2']",3,Out
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,B. Murphy,T4,28,B. Murphy singled to shortstop.,1B 6,0,1__,BFFP,L,R,0,[],Away,Home,___,0.0,0.0,"['0-0', '1-0', '1-1', '1-2']",4,Single
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,J. Williams,T4,29,J. Williams flied out to lf.,F7,0,1__,BP,L,R,0,[],Away,Home,1__,1.0,1.0,"['0-0', '1-0']",4,Out
